	,
	f
	.
	-
¡	!
¢	 cent 
¦	|
«	<<
¬	ㄱ
±	+-
´	`
·	.
་	.
º	°
»	>>
¿	?
À	A
Á	A
Â	A
Ã	A
Ä	A
Å	A
Ç	C
È	E
É	E
Ê	E
Ë	E
Ì	I
Í	I
Î	I
Ï	I
Ð	D
Ñ	N
Ò	O
Ó	O
Ô	O
Õ	O
Ö	O
×	*
Ù	U
Ú	U
Û	U
Ü	U
Ý	Y
ß	β
à	a
á	a
â	a
ã	a
ä	a
å	a
ç	c
è	e
é	e
ê	e
ë	e
ì	i
í	i
î	i
ï	i
ñ	n
ò	o
ó	o
ô	o
õ	o
ö	o
ù	u
ú	u
û	u
ü	u
ý	y
ÿ	y
Ā	A
ā	a
Ă	A
ă	a
Ą	A
ą	a
Ć	C
ć	c
Ĉ	C
ĉ	c
Ċ	C
ċ	c
Č	C
č	c
Ď	D
ď	d
đ	d
Ē	E
ē	e
Ĕ	E
ĕ	e
Ė	E
ė	e
Ę	E
ę	e
Ě	E
ě	e
Ĝ	G
ĝ	g
Ğ	G
ğ	g
Ġ	G
ġ	g
Ģ	G
ģ	g
Ĥ	H
ĥ	h
Ħ	H
ħ	h
Ĩ	I
ĩ	i
Ī	I
ī	i
Ĭ	I
ĭ	i
Į	I
į	i
İ	I
ı	l
Ĵ	J
ĵ	j
Ķ	K
ķ	k
Ĺ	L
ĺ	l
Ļ	L
ļ	l
Ľ	L
ľ	l
Ł	L
ł	l
Ń	N
ń	n
Ņ	N
ņ	n
Ň	N
ň	n
Ō	O
ō	o
Ŏ	O
ŏ	o
Ő	O
ő	o
Ŕ	R
ŕ	r
Ŗ	R
ŗ	r
Ř	R
ř	r
Ś	S
ś	s
Ŝ	S
ŝ	s
Ş	S
ş	s
Š	S
š	s
Ţ	T
ţ	t
Ť	T
ť	t
Ũ	U
ũ	u
Ū	U
ū	u
Ŭ	U
ŭ	u
Ů	U
ů	u
Ű	U
ű	u
Ų	U
ų	u
Ŵ	W
ŵ	w
Ŷ	Y
ŷ	y
Ÿ	Y
Ź	Z
ź	z
Ż	Z
ż	z
Ž	Z
ž	z
ƀ	b
Ɓ	B
Ƃ	b
ƃ	b
Ƅ	b
ƅ	b
Ɔ	C
Ƈ	C
ƈ	c
Ɖ	D
Ɗ	D
Ƌ	a
ƌ	A
Ǝ	E
Ə	e
Ɛ	e
Ƒ	F
ƒ	f
Ɠ	G
